race_cat,race,age_bin,age_cat,date,date_start,age,pop,all_covid,all_pop,covid_prop,pop_prop,week_from_start,lm_mean,lm_se,lm_lower,lm_upper
Asian,asian,65+,65 and over,2020-11-10,2020-11-04,65,996969,262,6034713,0.1183206106870229,0.16520570240871438,36,0.13665812410615824,0.003983121253794586,0.12885120644872086,0.14446504176359562
Asian,asian,65+,65 and over,2020-11-17,2020-11-11,65,997878,417,6037816,0.1079136690647482,0.16527134977283175,37,0.13830969587396597,0.0038577815212496496,0.13074844409231665,0.14587094765561529
Asian,asian,65+,65 and over,2020-11-24,2020-11-18,65,998786,513,6040921,0.11306042884990253,0.16533670941897766,38,0.13988836350483663,0.0037097874572663107,0.13261718008859466,0.1471595469210786
Asian,asian,65+,65 and over,2020-12-01,2020-11-25,65,999693,743,6044026,0.10901749663526245,0.16540183645801657,39,0.14137683540173757,0.003541269043234634,0.13443594807699769,0.14831772272647745
Asian,asian,65+,65 and over,2020-12-08,2020-12-02,65,1000601,1225,6047131,0.12653061224489795,0.16546706198360842,40,0.14275904504776424,0.0033567251258359828,0.1361798638011257,0.14933822629440277
Asian,asian,65+,65 and over,2020-12-15,2020-12-09,65,1001508,1750,6050237,0.1462857142857143,0.1655320279189063,41,0.1440201510061419,0.003163631417155794,0.13781943342851655,0.15022086858376726
Asian,asian,65+,65 and over,2020-12-22,2020-12-16,65,1002414,2521,6053340,0.13447044823482746,0.16559684405633915,42,0.14514653692022406,0.0029732112723150645,0.13931904282648652,0.1509740310139616
Asian,asian,65+,65 and over,2020-12-29,2020-12-23,65,1003322,3187,6056445,0.15029808597427047,0.1656618692979132,43,0.14612581151349394,0.00280118410973553,0.1406354906584123,0.15161613236857557
Asian,asian,65+,65 and over,2021-01-05,2020-12-30,65,1004230,3714,6059550,0.1631663974151858,0.16572682789976154,44,0.14694680858956272,0.0026678816233093347,0.14171776060787641,0.15217585657124902
Asian,asian,65+,65 and over,2021-01-12,2021-01-06,65,1005139,3815,6062656,0.16120576671035386,0.1657918575620982,45,0.14759958703217121,0.0025965096028478392,0.14251042821058946,0.15268874585375297
